6000 3
236 152 78
148 189 201
111 85 199
25 200 213
194 126 109
242 210 181
40 30 232
222 115 180
102 165 178
76 151 244
40 204 33
140 251 210
108 246 203
44 145 238
52 5 217
185 194 50
191 110 119
200 82 24
226 250 158
40 112 253
253 119 108
177 32 73
63 146 133
70 134 136
163 208 3
8 23 114
95 41 117
97 136 7
155 82 199
107 41 249
54 47 193
184 21 254
222 110 58
162 114 233
2 168 9
54 64 117
10 159 230
190 236 111
68 6 110
201 38 16
33 133 40
188 249 199
86 124 53
114 4 205
24 205 54
209 74 75
94 174 141
179 245 187
247 135 247
177 207 39
226 194 236
219 27 133
240 204 61
85 205 124
231 115 124
85 26 216
94 9 214
191 40 188
217 40 191
235 193 118
77 151 199
96 108 80
229 197 106
186 147 9
38 28 4
86 215 39
162 35 237
126 178 13
231 131 224
218 160 215
90 159 129
47 10 147
58 158 42
54 168 74
180 148 233
180 174 1
239 153 232
45 113 178
57 57 164
213 64 84
95 36 42
71 36 86
84 70 184
241 82 120
220 47 217
132 237 127
15 211 34
156 191 171
220 181 162
149 184 120
79 1 173
80 81 86
229 57 198
102 116 92
142 77 186
169 6 246
53 39 92
222 155 225
157 50 123
124 125 206
215 203 146
162 174 5
161 94 241
60 220 141
246 200 167
124 0 157
76 127 223
62 180 76
196 203 99
19 35 223
138 159 65
164 155 184
93 55 154
30 233 159
239 1 37
207 36 74
15 10 32
187 81 43
230 204 222
66 119 246
144 170 44
94 250 38
74 121 137
100 200 201
223 44 96
5 137 20
156 62 90
124 183 29
126 254 70
204 63 35
202 6 42
141 1 130
62 28 17
105 151 249
107 81 153
209 191 54
137 244 42
14 117 151
240 12 62
208 15 201
39 168 173
159 74 169
194 249 40
190 194 247
132 59 198
183 174 31
146 95 157
243 166 172
5 171 192
8 211 211
236 204 159
60 158 196
160 39 108
232 31 18
94 38 13
206 234 130
87 46 105
218 17 44
127 250 178
204 181 136
212 234 108
87 223 227
34 21 135
38 179 154
63 127 174
208 123 208
216 117 232
69 11 7
123 83 124
216 247 75
204 214 33
173 155 188
237 80 79
125 70 193
6 97 194
112 10 185
25 132 12
55 117 47
221 229 148
99 10 165
10 246 75
176 132 228
239 167 79
28 47 6
103 75 208
133 80 146
113 57 118
131 110 84
105 150 15
41 164 141
235 255 26
36 174 130
111 232 169
25 128 185
148 237 247
91 121 207
200 158 60
215 247 14
107 15 223
24 21 84
80 206 107
123 83 46
119 6 53
38 155 236
118 16 212
163 240 247
42 6 125
248 128 44
153 249 65
210 63 212
59 205 75
198 155 72
228 44 27
137 22 58
156 24 223
119 24 104
67 233 31
92 177 27
217 173 190
121 35 250
184 215 82
215 225 62
23 121 120
69 30 52
28 235 77
23 136 203
193 3 149
230 236 70
187 99 233
30 215 69
89 31 21
198 105 87
2 161 198
