KPROJ,W,M,PROBES,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
12,40,8500,500,0.810000,1.016236,0.013895,0.114538,71.966521
12,40,8500,850,0.840000,1.012859,0.014791,0.114538,67.608361
12,40,10000,500,0.820000,1.014650,0.015271,0.114538,65.485355
12,40,10000,850,0.850000,1.011273,0.017295,0.114538,57.819778
12,60,8500,500,0.760000,1.013707,0.014237,0.114538,70.241934
12,60,8500,850,0.770000,1.013424,0.014679,0.114538,68.122722
12,60,10000,500,0.800000,1.010751,0.017238,0.114538,58.010697
12,60,10000,850,0.810000,1.010468,0.017237,0.114538,58.014567
12,80,8500,500,0.710000,1.026550,0.014631,0.114538,68.346253
12,80,8500,850,0.710000,1.026550,0.014923,0.114538,67.012361
12,80,10000,500,0.750000,1.017586,0.017437,0.114538,57.350038
12,80,10000,850,0.750000,1.017586,0.018058,0.114538,55.376781
12,90,8500,500,0.740000,1.024448,0.014985,0.114538,66.734513
12,90,8500,850,0.740000,1.024448,0.015122,0.114538,66.127988
12,90,10000,500,0.760000,1.018931,0.017246,0.114538,57.985267
12,90,10000,850,0.760000,1.018931,0.017584,0.114538,56.869785
13,40,8500,500,0.800000,1.015945,0.011736,0.114538,85.211029
13,40,8500,850,0.820000,1.012827,0.014297,0.114538,69.944695
13,40,10000,500,0.810000,1.015923,0.013070,0.114538,76.510216
13,40,10000,850,0.840000,1.009819,0.015839,0.114538,63.135020
13,60,8500,500,0.770000,1.014113,0.013844,0.114538,72.233459
13,60,8500,850,0.780000,1.013830,0.014306,0.114538,69.899568
13,60,10000,500,0.800000,1.010649,0.022327,0.114538,44.789543
13,60,10000,850,0.810000,1.010366,0.030269,0.114538,33.037515
13,80,8500,500,0.750000,1.018432,0.016880,0.114538,59.242654
13,80,8500,850,0.750000,1.018432,0.014937,0.114538,66.948475
13,80,10000,500,0.770000,1.014569,0.016785,0.114538,59.576222
13,80,10000,850,0.770000,1.014569,0.019112,0.114538,52.322244
13,90,8500,500,0.730000,1.023438,0.014575,0.114538,68.610023
13,90,8500,850,0.730000,1.023438,0.014996,0.114538,66.684405
13,90,10000,500,0.780000,1.016437,0.017099,0.114538,58.484526
13,90,10000,850,0.780000,1.016437,0.017253,0.114538,57.961169
14,40,8500,500,0.760000,1.019883,0.009017,0.114538,110.903721
14,40,8500,850,0.820000,1.015528,0.011611,0.114538,86.128267
14,40,10000,500,0.760000,1.019883,0.009050,0.114538,110.494796
14,40,10000,850,0.830000,1.014630,0.012146,0.114538,82.333326
14,60,8500,500,0.760000,1.018057,0.013575,0.114538,73.662980
14,60,8500,850,0.780000,1.013683,0.013905,0.114538,71.915594
14,60,10000,500,0.800000,1.012544,0.015479,0.114538,64.601612
14,60,10000,850,0.830000,1.006907,0.016326,0.114538,61.250302
14,80,8500,500,0.730000,1.017854,0.013599,0.114538,73.536441
14,80,8500,850,0.740000,1.017806,0.014555,0.114538,68.705668
14,80,10000,500,0.750000,1.014832,0.017298,0.114538,57.808614
14,80,10000,850,0.770000,1.014751,0.017262,0.114538,57.931520
14,90,8500,500,0.780000,1.017288,0.014285,0.114538,70.003500
14,90,8500,850,0.780000,1.017288,0.014732,0.114538,67.878571
14,90,10000,500,0.780000,1.017250,0.016593,0.114538,60.267939
14,90,10000,850,0.780000,1.017250,0.017211,0.114538,58.102005
