KPROJ,W,M,PROBES,AvgRecall,AvgAF,QPS,OutFile
11,30,10,1,0.000000,inf,32797.638570,runs/hypercube_mnist/run_k11_w30_m10_p1.txt
11,30,10,2,0.000000,1.595190,22805.017104,runs/hypercube_mnist/run_k11_w30_m10_p2.txt
11,30,10,5,0.000000,1.593839,32383.419689,runs/hypercube_mnist/run_k11_w30_m10_p5.txt
11,30,10,10,0.000000,1.593839,27948.574623,runs/hypercube_mnist/run_k11_w30_m10_p10.txt
11,30,10,50,0.000000,1.593839,26322.716504,runs/hypercube_mnist/run_k11_w30_m10_p50.txt
11,30,10,100,0.000000,1.593839,24801.587302,runs/hypercube_mnist/run_k11_w30_m10_p100.txt
11,30,10,500,0.000000,1.593839,27277.686852,runs/hypercube_mnist/run_k11_w30_m10_p500.txt
11,30,10,800,0.000000,1.593839,22232.103157,runs/hypercube_mnist/run_k11_w30_m10_p800.txt
11,30,50,1,0.040000,inf,11832.919181,runs/hypercube_mnist/run_k11_w30_m50_p1.txt
11,30,50,2,0.040000,1.307478,8682.062858,runs/hypercube_mnist/run_k11_w30_m50_p2.txt
11,30,50,5,0.040000,1.296506,9929.500546,runs/hypercube_mnist/run_k11_w30_m50_p5.txt
11,30,50,10,0.040000,1.294028,9149.130833,runs/hypercube_mnist/run_k11_w30_m50_p10.txt
11,30,50,50,0.040000,1.294028,8450.942280,runs/hypercube_mnist/run_k11_w30_m50_p50.txt
11,30,50,100,0.040000,1.294028,9937.394415,runs/hypercube_mnist/run_k11_w30_m50_p100.txt
11,30,50,500,0.040000,1.294028,8341.675008,runs/hypercube_mnist/run_k11_w30_m50_p500.txt
11,30,50,800,0.040000,1.294028,9014.693951,runs/hypercube_mnist/run_k11_w30_m50_p800.txt
11,30,100,1,0.100000,inf,8080.808081,runs/hypercube_mnist/run_k11_w30_m100_p1.txt
11,30,100,2,0.100000,1.264698,6619.447938,runs/hypercube_mnist/run_k11_w30_m100_p2.txt
11,30,100,5,0.110000,1.242434,5386.479935,runs/hypercube_mnist/run_k11_w30_m100_p5.txt
11,30,100,10,0.110000,1.237703,5349.596105,runs/hypercube_mnist/run_k11_w30_m100_p10.txt
11,30,100,50,0.110000,1.237703,4936.321453,runs/hypercube_mnist/run_k11_w30_m100_p50.txt
11,30,100,100,0.110000,1.237703,4698.144233,runs/hypercube_mnist/run_k11_w30_m100_p100.txt
11,30,100,500,0.110000,1.237703,5543.544542,runs/hypercube_mnist/run_k11_w30_m100_p500.txt
11,30,100,800,0.110000,1.237703,4737.764723,runs/hypercube_mnist/run_k11_w30_m100_p800.txt
11,30,500,1,0.140000,inf,4731.040356,runs/hypercube_mnist/run_k11_w30_m500_p1.txt
11,30,500,2,0.160000,1.231369,3135.484276,runs/hypercube_mnist/run_k11_w30_m500_p2.txt
11,30,500,5,0.200000,1.175013,2098.635887,runs/hypercube_mnist/run_k11_w30_m500_p5.txt
11,30,500,10,0.220000,1.140863,1431.188459,runs/hypercube_mnist/run_k11_w30_m500_p10.txt
11,30,500,50,0.290000,1.129150,1059.681248,runs/hypercube_mnist/run_k11_w30_m500_p50.txt
11,30,500,100,0.290000,1.129150,1103.972092,runs/hypercube_mnist/run_k11_w30_m500_p100.txt
11,30,500,500,0.290000,1.129150,1057.529611,runs/hypercube_mnist/run_k11_w30_m500_p500.txt
11,30,500,800,0.290000,1.129150,1135.886048,runs/hypercube_mnist/run_k11_w30_m500_p800.txt
11,30,1000,1,0.140000,inf,4558.508456,runs/hypercube_mnist/run_k11_w30_m1000_p1.txt
11,30,1000,2,0.160000,1.231369,3114.294612,runs/hypercube_mnist/run_k11_w30_m1000_p2.txt
11,30,1000,5,0.210000,1.170455,1461.838701,runs/hypercube_mnist/run_k11_w30_m1000_p5.txt
11,30,1000,10,0.280000,1.111793,940.194244,runs/hypercube_mnist/run_k11_w30_m1000_p10.txt
11,30,1000,50,0.430000,1.079766,579.022032,runs/hypercube_mnist/run_k11_w30_m1000_p50.txt
11,30,1000,100,0.430000,1.079754,544.600019,runs/hypercube_mnist/run_k11_w30_m1000_p100.txt
11,30,1000,500,0.430000,1.079316,589.271719,runs/hypercube_mnist/run_k11_w30_m1000_p500.txt
