KPROJ,W,M,PROBES,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
12,40,5000,500,0.730000,1.022930,0.009075,0.114538,110.187495
12,40,5000,850,0.730000,1.022930,0.009011,0.114538,110.979416
12,40,8500,500,0.810000,1.016236,0.014185,0.114538,70.497650
12,40,8500,850,0.840000,1.012859,0.015942,0.114538,62.725498
12,60,5000,500,0.640000,1.032426,0.008920,0.114538,112.110765
12,60,5000,850,0.640000,1.032426,0.009063,0.114538,110.333870
12,60,8500,500,0.760000,1.013707,0.014978,0.114538,66.764365
12,60,8500,850,0.770000,1.013424,0.015120,0.114538,66.135729
12,80,5000,500,0.620000,1.041040,0.008776,0.114538,113.952712
12,80,5000,850,0.620000,1.041040,0.008765,0.114538,114.087137
12,80,8500,500,0.710000,1.026550,0.014840,0.114538,67.384446
12,80,8500,850,0.710000,1.026550,0.015046,0.114538,66.461080
12,90,5000,500,0.600000,1.034652,0.008754,0.114538,114.230492
12,90,5000,850,0.600000,1.034652,0.008776,0.114538,113.947129
12,90,8500,500,0.740000,1.024448,0.015002,0.114538,66.656091
12,90,8500,850,0.740000,1.024448,0.015047,0.114538,66.456752
13,40,5000,500,0.730000,1.022015,0.008470,0.114538,118.057482
13,40,5000,850,0.730000,1.021309,0.009021,0.114538,110.854053
13,40,8500,500,0.800000,1.015945,0.012732,0.114538,78.543490
13,40,8500,850,0.820000,1.012827,0.015455,0.114538,64.705319
13,60,5000,500,0.650000,1.031131,0.008897,0.114538,112.399459
13,60,5000,850,0.650000,1.031131,0.008965,0.114538,111.540418
13,60,8500,500,0.770000,1.014113,0.015676,0.114538,63.789790
13,60,8500,850,0.780000,1.013830,0.017245,0.114538,57.986713
13,80,5000,500,0.630000,1.033853,0.009998,0.114538,100.015202
13,80,5000,850,0.630000,1.033853,0.010604,0.114538,94.301013
13,80,8500,500,0.750000,1.018432,0.017108,0.114538,58.450580
13,80,8500,850,0.750000,1.018432,0.017129,0.114538,58.380729
13,90,5000,500,0.640000,1.035075,0.009454,0.114538,105.771753
13,90,5000,850,0.640000,1.035075,0.010157,0.114538,98.449712
13,90,8500,500,0.730000,1.023438,0.015997,0.114538,62.510080
13,90,8500,850,0.730000,1.023438,0.016537,0.114538,60.471301
14,40,5000,500,0.730000,1.021922,0.008367,0.114538,119.514865
14,40,5000,850,0.740000,1.021142,0.012664,0.114538,78.962932
14,40,8500,500,0.760000,1.019883,0.010588,0.114538,94.442262
14,40,8500,850,0.820000,1.015528,0.014049,0.114538,71.180102
14,60,5000,500,0.660000,1.030144,0.010736,0.114538,93.143172
14,60,5000,850,0.660000,1.029958,0.010319,0.114538,96.904389
14,60,8500,500,0.760000,1.018057,0.017096,0.114538,58.492804
14,60,8500,850,0.780000,1.013683,0.018317,0.114538,54.594778
14,80,5000,500,0.650000,1.030464,0.010568,0.114538,94.626090
14,80,5000,850,0.650000,1.030464,0.010568,0.114538,94.625284
14,80,8500,500,0.730000,1.017854,0.017265,0.114538,57.921823
14,80,8500,850,0.740000,1.017806,0.016101,0.114538,62.109178
14,90,5000,500,0.680000,1.027854,0.009740,0.114538,102.665715
14,90,5000,850,0.680000,1.027854,0.011626,0.114538,86.016178
14,90,8500,500,0.780000,1.017288,0.017595,0.114538,56.835200
14,90,8500,850,0.780000,1.017288,0.020336,0.114538,49.174967
