KPROJ,W,M,PROBES,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
16,5,5000,500,0.400000,1.097718,0.002199,0.333540,454.770773
16,5,5000,850,0.400000,1.097718,0.002342,0.333540,426.928972
16,5,8500,500,0.450000,1.083453,0.003521,0.333540,284.011031
16,5,8500,850,0.460000,1.082423,0.003785,0.333540,264.200095
16,5,10000,500,0.460000,1.080228,0.004188,0.333540,238.770048
16,5,10000,850,0.470000,1.079198,0.004307,0.333540,232.159150
16,5,20000,500,0.570000,1.053947,0.008223,0.333540,121.605386
16,5,20000,850,0.580000,1.052917,0.008755,0.333540,114.219271
16,10,5000,500,0.400000,1.087735,0.002225,0.333540,449.403866
16,10,5000,850,0.400000,1.087735,0.002285,0.333540,437.726797
16,10,8500,500,0.450000,1.073499,0.003474,0.333540,287.875822
16,10,8500,850,0.450000,1.073499,0.004449,0.333540,224.781232
16,10,10000,500,0.460000,1.071952,0.004733,0.333540,211.301682
16,10,10000,850,0.460000,1.071952,0.004698,0.333540,212.838866
16,10,20000,500,0.580000,1.042904,0.007876,0.333540,126.971712
16,10,20000,850,0.580000,1.042627,0.008067,0.333540,123.969350
16,20,5000,500,0.370000,1.106357,0.002354,0.333540,424.884644
16,20,5000,850,0.370000,1.106357,0.002476,0.333540,403.803832
16,20,8500,500,0.430000,1.083257,0.003920,0.333540,255.086423
16,20,8500,850,0.440000,1.082258,0.003882,0.333540,257.579933
16,20,10000,500,0.440000,1.081544,0.004509,0.333540,221.801293
16,20,10000,850,0.450000,1.080545,0.004239,0.333540,235.925844
16,20,20000,500,0.510000,1.071524,0.009289,0.333540,107.656533
16,20,20000,850,0.520000,1.070525,0.008483,0.333540,117.879906
16,50,5000,500,0.290000,1.168451,0.002302,0.333540,434.342601
16,50,5000,850,0.290000,1.168073,0.002117,0.333540,472.475916
16,50,8500,500,0.340000,1.122283,0.003551,0.333540,281.596540
16,50,8500,850,0.340000,1.121905,0.003526,0.333540,283.591402
16,50,10000,500,0.350000,1.113774,0.004110,0.333540,243.315515
16,50,10000,850,0.350000,1.113396,0.004587,0.333540,218.023097
16,50,20000,500,0.420000,1.070885,0.009623,0.333540,103.915861
16,50,20000,850,0.420000,1.070506,0.007773,0.333540,128.657408
16,80,5000,500,0.300000,1.131579,0.002013,0.333540,496.721637
16,80,5000,850,0.300000,1.131579,0.002059,0.333540,485.781185
16,80,8500,500,0.350000,1.102158,0.003286,0.333540,304.342665
16,80,8500,850,0.350000,1.102158,0.004038,0.333540,247.633245
16,80,10000,500,0.370000,1.095739,0.003937,0.333540,253.990186
16,80,10000,850,0.370000,1.095739,0.004080,0.333540,245.073412
16,80,20000,500,0.500000,1.049982,0.008163,0.333540,122.503981
16,80,20000,850,0.500000,1.049982,0.007633,0.333540,131.001678
17,5,5000,500,0.410000,1.095740,0.002228,0.333540,448.750454
17,5,5000,850,0.420000,1.095112,0.002426,0.333540,412.284427
17,5,8500,500,0.460000,1.074862,0.003962,0.333540,252.387587
17,5,8500,850,0.480000,1.071226,0.004229,0.333540,236.474823
17,5,10000,500,0.520000,1.064413,0.004220,0.333540,236.975810
17,5,10000,850,0.540000,1.060777,0.004361,0.333540,229.317299
17,5,20000,500,0.580000,1.057992,0.007419,0.333540,134.789600
17,5,20000,850,0.600000,1.054320,0.009270,0.333540,107.871025
17,10,5000,500,0.410000,1.086756,0.002488,0.333540,401.922799
17,10,5000,850,0.410000,1.086756,0.002450,0.333540,408.106630
17,10,8500,500,0.470000,1.072514,0.003917,0.333540,255.274612
17,10,8500,850,0.480000,1.072240,0.003961,0.333540,252.479347
17,10,10000,500,0.500000,1.058883,0.004120,0.333540,242.738478
17,10,10000,850,0.510000,1.058355,0.004780,0.333540,209.215525
17,10,20000,500,0.600000,1.039061,0.007048,0.333540,141.888450
