KPROJ,W,M,PROBES,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
16,5,5000,500,0.400000,1.097718,0.002216,0.333540,451.216706
16,5,5000,850,0.400000,1.097718,0.002297,0.333540,435.289816
16,5,8500,500,0.450000,1.083453,0.003914,0.333540,255.503546
16,5,8500,850,0.460000,1.082423,0.003868,0.333540,258.548252
16,10,5000,500,0.400000,1.087735,0.002233,0.333540,447.767877
16,10,5000,850,0.400000,1.087735,0.002327,0.333540,429.795117
16,10,8500,500,0.450000,1.073499,0.003669,0.333540,272.522633
16,10,8500,850,0.450000,1.073499,0.003764,0.333540,265.699520
16,20,5000,500,0.370000,1.106357,0.002350,0.333540,425.481219
16,20,5000,850,0.370000,1.106357,0.002316,0.333540,431.689460
16,20,8500,500,0.430000,1.083257,0.003640,0.333540,274.759997
16,20,8500,850,0.440000,1.082258,0.003954,0.333540,252.918042
16,50,5000,500,0.290000,1.168451,0.002369,0.333540,422.090530
16,50,5000,850,0.290000,1.168073,0.002209,0.333540,452.607472
16,50,8500,500,0.340000,1.122283,0.003279,0.333540,304.939409
16,50,8500,850,0.340000,1.121905,0.003351,0.333540,298.404135
16,80,5000,500,0.300000,1.131579,0.001951,0.333540,512.449972
16,80,5000,850,0.300000,1.131579,0.001916,0.333540,522.002401
16,80,8500,500,0.350000,1.102158,0.003224,0.333540,310.201600
16,80,8500,850,0.350000,1.102158,0.003428,0.333540,291.682102
17,5,5000,500,0.410000,1.095740,0.002287,0.333540,437.248309
17,5,5000,850,0.420000,1.095112,0.002242,0.333540,445.972644
17,5,8500,500,0.460000,1.074862,0.003357,0.333540,297.900102
17,5,8500,850,0.480000,1.071226,0.003831,0.333540,261.007332
17,10,5000,500,0.410000,1.086756,0.002290,0.333540,436.633555
17,10,5000,850,0.410000,1.086756,0.002528,0.333540,395.558667
17,10,8500,500,0.470000,1.072514,0.003461,0.333540,288.918808
17,10,8500,850,0.480000,1.072240,0.003537,0.333540,282.715083
17,20,5000,500,0.390000,1.097033,0.002156,0.333540,463.746609
17,20,5000,850,0.400000,1.096034,0.002129,0.333540,469.604828
17,20,8500,500,0.440000,1.081795,0.003430,0.333540,291.535840
17,20,8500,850,0.450000,1.080534,0.003489,0.333540,286.610969
17,50,5000,500,0.280000,1.164460,0.002043,0.333540,489.394814
17,50,5000,850,0.290000,1.161335,0.002136,0.333540,468.226172
17,50,8500,500,0.310000,1.147822,0.003265,0.333540,306.239320
17,50,8500,850,0.320000,1.144697,0.003311,0.333540,301.988899
17,80,5000,500,0.310000,1.129761,0.001978,0.333540,505.660873
17,80,5000,850,0.320000,1.126920,0.002073,0.333540,482.392668
17,80,8500,500,0.360000,1.102331,0.003226,0.333540,310.022725
17,80,8500,850,0.370000,1.099489,0.003118,0.333540,320.699895
18,5,5000,500,0.430000,1.089047,0.002181,0.333540,458.435908
18,5,5000,850,0.430000,1.088640,0.002213,0.333540,451.926336
18,5,8500,500,0.480000,1.072737,0.003112,0.333540,321.310949
18,5,8500,850,0.480000,1.071566,0.003456,0.333540,289.315018
18,10,5000,500,0.430000,1.083280,0.002084,0.333540,479.775081
18,10,5000,850,0.430000,1.081769,0.002141,0.333540,467.112915
18,10,8500,500,0.500000,1.073326,0.003169,0.333540,315.574883
18,10,8500,850,0.520000,1.065878,0.003462,0.333540,288.856216
18,20,5000,500,0.380000,1.099903,0.002194,0.333540,455.771895
18,20,5000,850,0.390000,1.098903,0.002218,0.333540,450.913551
18,20,8500,500,0.430000,1.084880,0.003432,0.333540,291.380385
18,20,8500,850,0.440000,1.081566,0.003789,0.333540,263.907252
18,50,5000,500,0.290000,1.159313,0.002054,0.333540,486.828846
18,50,5000,850,0.300000,1.154567,0.002040,0.333540,490.152830
18,50,8500,500,0.350000,1.136607,0.003243,0.333540,308.382135
18,50,8500,850,0.360000,1.131861,0.003335,0.333540,299.850974
18,80,5000,500,0.330000,1.125126,0.002043,0.333540,489.469073
18,80,5000,850,0.340000,1.121906,0.002445,0.333540,409.006319
18,80,8500,500,0.360000,1.100412,0.003237,0.333540,308.940427
18,80,8500,850,0.370000,1.097192,0.003284,0.333540,304.517826
19,5,5000,500,0.470000,1.085439,0.002041,0.333540,489.888697
19,5,5000,850,0.470000,1.083751,0.002207,0.333540,453.157146
19,5,8500,500,0.490000,1.073021,0.002997,0.333540,333.662547
19,5,8500,850,0.490000,1.071333,0.003449,0.333540,289.943316
19,10,5000,500,0.430000,1.098221,0.002021,0.333540,494.900055
19,10,5000,850,0.430000,1.094291,0.002208,0.333540,452.802166
19,10,8500,500,0.470000,1.072437,0.002959,0.333540,337.962290
19,10,8500,850,0.470000,1.067178,0.003382,0.333540,295.715380
19,20,5000,500,0.410000,1.097715,0.002047,0.333540,488.517399
19,20,5000,850,0.420000,1.095142,0.003239,0.333540,308.746797
19,20,8500,500,0.450000,1.086015,0.003238,0.333540,308.788745
19,20,8500,850,0.470000,1.082357,0.003529,0.333540,283.328658
19,50,5000,500,0.310000,1.151938,0.001939,0.333540,515.703161
19,50,5000,850,0.320000,1.147571,0.002083,0.333540,480.175936
19,50,8500,500,0.360000,1.135583,0.003333,0.333540,300.037205
19,50,8500,850,0.370000,1.131216,0.003463,0.333540,288.748621
19,80,5000,500,0.330000,1.125126,0.001954,0.333540,511.679075
19,80,5000,850,0.340000,1.121906,0.001980,0.333540,505.116834
19,80,8500,500,0.360000,1.100412,0.003261,0.333540,306.651579
19,80,8500,850,0.370000,1.097192,0.003208,0.333540,311.758599
