KCLUSTERS,NPROBE,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
10,2,0.910000,1.008249,0.043560,0.114538,22.956947
10,3,0.980000,1.000483,0.056047,0.114538,17.842085
10,4,1.000000,1.000000,0.066382,0.114538,15.064395
10,5,1.000000,1.000000,0.081372,0.114538,12.289246
20,2,0.850000,1.012108,0.039043,0.114538,25.612648
20,3,0.920000,1.008723,0.049849,0.114538,20.060627
20,4,0.940000,1.008055,0.058856,0.114538,16.990615
20,5,0.980000,1.001235,0.063846,0.114538,15.662679
40,2,0.810000,1.018894,0.030401,0.114538,32.893785
40,3,0.860000,1.014019,0.038382,0.114538,26.053981
40,4,0.910000,1.010990,0.045106,0.114538,22.170142
40,5,0.940000,1.005747,0.054526,0.114538,18.339764
50,2,0.760000,1.020967,0.026680,0.114538,37.481344
50,3,0.830000,1.011043,0.034859,0.114538,28.687128
50,4,0.940000,1.005359,0.042965,0.114538,23.274759
50,5,0.960000,1.004132,0.048386,0.114538,20.667003
60,2,0.720000,1.020359,0.025591,0.114538,39.075871
60,3,0.810000,1.014664,0.033838,0.114538,29.552268
60,4,0.900000,1.008817,0.040932,0.114538,24.430775
60,5,0.950000,1.005615,0.045578,0.114538,21.940583
80,2,0.730000,1.020512,0.024625,0.114538,40.609220
80,3,0.830000,1.008275,0.032595,0.114538,30.679326
80,4,0.900000,1.004332,0.042587,0.114538,23.481394
80,5,0.950000,1.001542,0.046894,0.114538,21.324744
