KCLUSTERS,NPROBES,AvgRecall,AvgAF,QPS
35,2,0.800000,1.018227,33.728951
35,3,0.940000,1.003576,23.572313
35,4,0.950000,1.003554,19.969818
35,5,0.990000,1.000002,16.823515
35,6,0.990000,1.000002,14.799180
45,2,0.800000,1.016365,34.440824
45,3,0.930000,1.004198,24.377782
45,4,0.970000,1.001778,20.697892
45,5,1.000000,1.000000,18.173485
45,6,1.000000,1.000000,16.095370
50,2,0.820000,1.018283,33.933988
50,3,0.900000,1.005364,24.848690
50,4,0.960000,1.002287,21.603255
50,5,0.970000,1.001391,18.364013
50,6,1.000000,1.000000,16.820284
60,2,0.840000,1.017636,29.180594
60,3,0.920000,1.007824,22.304914
60,4,0.970000,1.000720,19.030720
60,5,0.990000,1.000192,17.241344
60,6,0.990000,1.000192,16.078042
65,2,0.850000,1.016937,30.476404
65,3,0.950000,1.007662,24.046965
65,4,0.970000,1.006083,20.698418
65,5,0.970000,1.006083,17.991805
65,6,0.980000,1.004224,16.426171
80,2,0.790000,1.022095,42.452408
80,3,0.860000,1.010262,31.405112
80,4,0.940000,1.003463,26.342701
80,5,0.950000,1.003461,22.538513
80,6,0.950000,1.003461,20.838165
