KCLUSTERS,NPROBE,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
10,2,0.950000,1.007780,0.069130,0.333540,14.465575
10,3,1.000000,1.000000,0.103233,0.333540,9.686858
10,4,1.000000,1.000000,0.139413,0.333540,7.172930
10,5,1.000000,1.000000,0.155685,0.333540,6.423211
20,2,0.950000,1.005594,0.034544,0.333540,28.948788
20,3,0.980000,1.001613,0.048923,0.333540,20.440079
20,4,1.000000,1.000000,0.068364,0.333540,14.627496
20,5,1.000000,1.000000,0.090962,0.333540,10.993649
30,2,0.950000,1.001546,0.022889,0.333540,43.688765
30,3,0.980000,1.000419,0.033592,0.333540,29.769365
30,4,0.990000,1.000085,0.044572,0.333540,22.435801
30,5,1.000000,1.000000,0.053971,0.333540,18.528582
40,2,0.930000,1.011465,0.018249,0.333540,54.798094
40,3,0.990000,1.000101,0.025830,0.333540,38.714958
40,4,0.990000,1.000101,0.035312,0.333540,28.319202
40,5,1.000000,1.000000,0.041391,0.333540,24.159655
50,2,0.890000,1.009293,0.018595,0.333540,53.778534
50,3,0.940000,1.003762,0.022852,0.333540,43.759023
50,4,0.970000,1.003009,0.029470,0.333540,33.932387
50,5,0.990000,1.000334,0.034864,0.333540,28.683219
60,2,0.890000,1.006180,0.013771,0.333540,72.617844
60,3,0.940000,1.001470,0.020714,0.333540,48.276971
60,4,0.980000,1.001071,0.025894,0.333540,38.619283
60,5,0.980000,1.001071,0.032492,0.333540,30.776778
80,2,0.860000,1.016571,0.011770,0.333540,84.963355
80,3,0.920000,1.005584,0.017230,0.333540,58.037194
80,4,0.960000,1.004042,0.022274,0.333540,44.895817
80,5,0.980000,1.001959,0.028187,0.333540,35.477486
