KCLUSTERS,NPROBE,M,NBITS,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
10,5,16,8,0.530000,1.036359,0.156639,0.333540,6.384093
10,5,32,8,0.660000,1.013965,0.183390,0.333540,5.452872
10,5,64,8,0.820000,1.001945,0.207170,0.333540,4.826949
10,5,128,8,1.000000,1.000000,0.272024,0.333540,3.676144
10,20,16,8,0.510000,1.037713,0.333158,0.333540,3.001576
10,20,32,8,0.710000,1.010411,0.385844,0.333540,2.591722
10,20,64,8,0.860000,1.001881,0.448668,0.333540,2.228818
10,20,128,8,0.990000,1.000010,0.881754,0.333540,1.134103
10,40,16,8,0.500000,1.046003,0.415545,0.333540,2.406481
10,40,32,8,0.620000,1.016817,0.570680,0.333540,1.752296
10,40,64,8,0.860000,1.001207,0.556791,0.333540,1.796005
10,40,128,8,1.000000,1.000000,0.586923,0.333540,1.703800
20,5,16,8,0.590000,1.033157,0.100171,0.333540,9.982970
20,5,32,8,0.710000,1.010081,0.123087,0.333540,8.124326
20,5,64,8,0.860000,1.001648,0.167896,0.333540,5.956080
20,5,128,8,0.990000,1.000010,0.187190,0.333540,5.342175
20,20,16,8,0.500000,1.040438,0.429728,0.333540,2.327054
20,20,32,8,0.670000,1.013349,0.530390,0.333540,1.885405
20,20,64,8,0.900000,1.001877,0.512064,0.333540,1.952883
20,20,128,8,1.000000,1.000000,0.647461,0.333540,1.544495
20,40,16,8,0.430000,1.044351,0.405588,0.333540,2.465556
20,40,32,8,0.600000,1.017155,0.517929,0.333540,1.930766
20,40,64,8,0.870000,1.001611,0.488302,0.333540,2.047913
20,40,128,8,0.990000,1.000008,0.577573,0.333540,1.731382
50,5,16,8,0.520000,1.038460,0.043714,0.333540,22.876066
50,5,32,8,0.650000,1.020291,0.050971,0.333540,19.618845
50,5,64,8,0.830000,1.005118,0.060393,0.333540,16.558128
