K,L,W,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
3,5,40,0.280000,1.095301,0.003272,0.114538,305.622538
3,5,60,0.490000,1.047546,0.010342,0.114538,96.694031
3,5,80,0.720000,1.019956,0.021829,0.114538,45.809884
3,5,100,0.790000,1.016554,0.035630,0.114538,28.066441
3,5,120,0.920000,1.007181,0.050135,0.114538,19.946332
3,10,40,0.500000,1.049049,0.006807,0.114538,146.897668
3,10,60,0.750000,1.020725,0.020690,0.114538,48.332902
3,10,80,0.920000,1.002492,0.040163,0.114538,24.898383
3,10,100,0.980000,1.000938,0.059416,0.114538,16.830464
3,10,120,0.980000,1.000654,0.077436,0.114538,12.913810
3,15,40,0.620000,1.029560,0.010202,0.114538,98.016249
3,15,60,0.850000,1.011318,0.029282,0.114538,34.150999
3,15,80,0.950000,1.001095,0.052473,0.114538,19.057583
3,15,100,0.990000,1.000049,0.075395,0.114538,13.263396
3,15,120,1.000000,1.000000,0.093206,0.114538,10.728893
3,20,40,0.670000,1.020090,0.012508,0.114538,79.950431
3,20,60,0.890000,1.008428,0.035663,0.114538,28.040392
3,20,80,1.000000,1.000000,0.065941,0.114538,15.165175
3,20,100,1.000000,1.000000,0.100527,0.114538,9.947583
3,20,120,1.000000,1.000000,0.112460,0.114538,8.892019
4,5,40,0.220000,1.174630,0.000697,0.114538,1435.276219
4,5,60,0.370000,1.086308,0.002813,0.114538,355.491093
4,5,80,0.650000,1.026366,0.007743,0.114538,129.146073
4,5,100,0.720000,1.019785,0.015766,0.114538,63.426462
4,5,120,0.880000,1.008018,0.025993,0.114538,38.471319
4,10,40,0.320000,1.109449,0.001411,0.114538,708.561549
4,10,60,0.530000,1.054190,0.005733,0.114538,174.422661
4,10,80,0.810000,1.009282,0.016176,0.114538,61.818872
4,10,100,0.870000,1.004742,0.028782,0.114538,34.743901
4,10,120,0.990000,1.000143,0.046164,0.114538,21.661986
4,15,40,0.360000,1.086719,0.002025,0.114538,493.866182
4,15,60,0.640000,1.031895,0.008587,0.114538,116.458904
4,15,80,0.910000,1.003682,0.021405,0.114538,46.717489
4,15,100,0.950000,1.000376,0.039134,0.114538,25.553293
4,15,120,0.990000,1.000143,0.065602,0.114538,15.243510
4,20,40,0.420000,1.066051,0.002916,0.114538,342.881438
4,20,60,0.690000,1.021387,0.011225,0.114538,89.089399
4,20,80,0.950000,1.002616,0.027814,0.114538,35.953479
4,20,100,0.970000,1.000214,0.049919,0.114538,20.032557
4,20,120,0.990000,1.000065,0.078332,0.114538,12.766132
5,5,40,0.190000,1.292999,0.000208,0.114538,4802.151364
5,5,60,0.230000,1.161231,0.000918,0.114538,1089.016183
5,5,80,0.420000,1.078841,0.003114,0.114538,321.177823
5,5,100,0.570000,1.042211,0.007694,0.114538,129.977150
5,5,120,0.680000,1.027969,0.015118,0.114538,66.147366
5,10,40,0.230000,1.203450,0.000426,0.114538,2346.041056
5,10,60,0.380000,1.090575,0.001832,0.114538,545.794923
5,10,80,0.690000,1.023282,0.007639,0.114538,130.906844
5,10,100,0.830000,1.010585,0.016265,0.114538,61.482087
5,10,120,0.900000,1.002800,0.028454,0.114538,35.144123
5,15,40,0.290000,1.165402,0.000631,0.114538,1584.158416
5,15,60,0.470000,1.061280,0.002670,0.114538,374.509393
5,15,80,0.730000,1.019644,0.009003,0.114538,111.075073
5,15,100,0.880000,1.007898,0.019955,0.114538,50.111875
5,15,120,0.950000,1.000964,0.036452,0.114538,27.433397
5,20,40,0.310000,1.149950,0.000768,0.114538,1301.761283
5,20,60,0.590000,1.038395,0.003735,0.114538,267.716831
5,20,80,0.770000,1.012004,0.011069,0.114538,90.341092
5,20,100,0.930000,1.001265,0.024862,0.114538,40.222042
5,20,120,0.970000,1.000810,0.045478,0.114538,21.988581
6,5,40,0.090000,inf,0.000089,0.114538,11243.534967
6,5,60,0.140000,1.228651,0.000311,0.114538,3217.917364
6,5,80,0.380000,1.105511,0.001195,0.114538,836.988182
6,5,100,0.530000,1.056232,0.003216,0.114538,310.961711
6,5,120,0.620000,1.036937,0.006649,0.114538,150.398330
6,10,40,0.130000,1.340305,0.000214,0.114538,4672.023921
6,10,60,0.220000,1.156134,0.000682,0.114538,1466.297160
6,10,80,0.520000,1.060223,0.002353,0.114538,424.980345
6,10,100,0.740000,1.023292,0.006672,0.114538,149.869539
6,10,120,0.860000,1.007502,0.013768,0.114538,72.634090
6,15,40,0.170000,1.279599,0.000307,0.114538,3256.798567
6,15,60,0.290000,1.117435,0.001022,0.114538,978.559756
6,15,80,0.600000,1.039806,0.003638,0.114538,274.878572
6,15,100,0.800000,1.017157,0.009581,0.114538,104.367792
6,15,120,0.920000,1.003275,0.020667,0.114538,48.385450
6,20,40,0.210000,1.251863,0.000354,0.114538,2824.459822
6,20,60,0.360000,1.089789,0.001359,0.114538,735.634890
6,20,80,0.670000,1.026773,0.004495,0.114538,222.445162
6,20,100,0.830000,1.014065,0.011836,0.114538,84.489073
6,20,120,0.950000,1.001730,0.027085,0.114538,36.920655
