K,L,W,AvgRecall,AvgAF,AvgTApprox,AvgTTrue,QPS
3,5,5,0.030000,1.466599,0.000345,0.333540,2898.718766
3,5,10,0.080000,1.284924,0.001793,0.333540,557.848935
3,5,20,0.420000,1.082591,0.012994,0.333540,76.960965
3,5,40,0.830000,1.012276,0.071149,0.333540,14.055015
3,5,60,0.960000,1.005571,0.146158,0.333540,6.841913
3,5,100,0.990000,1.000099,0.261794,0.333540,3.819804
3,10,5,0.060000,1.384213,0.000659,0.333540,1518.187891
3,10,10,0.180000,1.187318,0.003546,0.333540,281.987220
3,10,20,0.610000,1.034530,0.020974,0.333540,47.677146
3,10,40,0.960000,1.001230,0.111600,0.333540,8.960562
3,10,60,1.000000,1.000000,0.244235,0.333540,4.094417
3,10,100,1.000000,1.000000,0.343168,0.333540,2.914028
3,15,5,0.080000,1.323155,0.001026,0.333540,974.307511
3,15,10,0.260000,1.153696,0.005101,0.333540,196.027695
3,15,20,0.690000,1.023580,0.030176,0.333540,33.138677
3,15,40,1.000000,1.000000,0.155109,0.333540,6.447097
3,15,60,1.000000,1.000000,0.289088,0.333540,3.459154
3,15,100,1.000000,1.000000,0.381123,0.333540,2.623823
3,20,5,0.090000,1.295637,0.001715,0.333540,583.015590
3,20,10,0.320000,1.112985,0.006663,0.333540,150.086149
3,20,20,0.830000,1.013169,0.047100,0.333540,21.231477
3,20,40,1.000000,1.000000,0.214139,0.333540,4.669864
3,20,60,1.000000,1.000000,0.345771,0.333540,2.892085
3,20,100,1.000000,1.000000,0.414962,0.333540,2.409861
4,5,5,0.010000,1.819220,0.000049,0.333540,20525.451560
4,5,10,0.050000,1.429220,0.000277,0.333540,3611.803373
4,5,20,0.260000,1.154084,0.002428,0.333540,411.881971
4,5,40,0.630000,1.041200,0.022885,0.333540,43.696649
4,5,60,0.880000,1.010025,0.076717,0.333540,13.034934
4,5,100,1.000000,1.000000,0.196151,0.333540,5.098108
4,10,5,0.010000,1.681158,0.000073,0.333540,13781.697905
4,10,10,0.090000,1.341349,0.000540,0.333540,1851.680400
4,10,20,0.340000,1.101207,0.004135,0.333540,241.864875
4,10,40,0.880000,1.005412,0.040715,0.333540,24.561069
4,10,60,1.000000,1.000000,0.161206,0.333540,6.203251
4,10,100,1.000000,1.000000,0.279130,0.333540,3.582563
4,15,5,0.030000,1.596755,0.000105,0.333540,9493.971328
4,15,10,0.100000,1.295797,0.000899,0.333540,1112.074909
4,15,20,0.490000,1.064543,0.007283,0.333540,137.298326
4,15,40,0.960000,1.000995,0.067290,0.333540,14.860994
4,15,60,1.000000,1.000000,0.186176,0.333540,5.371264
4,15,100,1.000000,1.000000,0.342133,0.333540,2.922843
4,20,5,0.040000,1.563701,0.000139,0.333540,7184.940365
4,20,10,0.110000,1.265666,0.000961,0.333540,1040.084871
4,20,20,0.570000,1.041853,0.009496,0.333540,105.306056
4,20,40,0.980000,1.000350,0.086113,0.333540,11.612626
4,20,60,1.000000,1.000000,0.232289,0.333540,4.304983
4,20,100,1.000000,1.000000,0.390040,0.333540,2.563841
6,5,5,0.000000,inf,0.000036,0.333540,27677.830058
6,5,10,0.000000,inf,0.000037,0.333540,27210.884354
6,5,20,0.120000,1.309589,0.000170,0.333540,5873.715125
6,5,40,0.380000,1.081986,0.004034,0.333540,247.863417
6,5,60,0.730000,1.023335,0.022708,0.333540,44.037072
6,5,100,0.950000,1.010255,0.111905,0.333540,8.936159
6,10,5,0.000000,inf,0.000042,0.333540,23618.327822
6,10,10,0.010000,inf,0.000050,0.333540,19972.039145
6,10,20,0.130000,1.236742,0.000334,0.333540,2998.410842
6,10,40,0.580000,1.035906,0.007899,0.333540,126.594778
6,10,60,0.920000,1.005358,0.043463,0.333540,23.008219
6,10,100,0.990000,1.000477,0.187085,0.333540,5.345154
6,15,5,0.000000,inf,0.000054,0.333540,18545.994065
6,15,10,0.030000,inf,0.000068,0.333540,14777.597163
6,15,20,0.180000,1.189684,0.000572,0.333540,1747.396379
6,15,40,0.710000,1.019810,0.012587,0.333540,79.443956
6,15,60,0.980000,1.000589,0.064196,0.333540,15.577365
6,15,100,1.000000,1.000000,0.262586,0.333540,3.808280
6,20,5,0.000000,inf,0.000075,0.333540,13342.228152
6,20,10,0.030000,1.697382,0.000085,0.333540,11814.744802
6,20,20,0.230000,1.161292,0.000996,0.333540,1003.985824
6,20,40,0.800000,1.010756,0.016693,0.333540,59.905421
6,20,60,1.000000,1.000000,0.083301,0.333540,12.004695
6,20,100,1.000000,1.000000,0.292473,0.333540,3.419122
8,5,5,0.000000,inf,0.000034,0.333540,29154.518950
8,5,10,0.000000,inf,0.000033,0.333540,30349.013657
8,5,20,0.060000,inf,0.000045,0.333540,22246.941046
8,5,40,0.240000,1.139983,0.000726,0.333540,1376.557230
8,5,60,0.550000,1.071269,0.006493,0.333540,154.014148
8,5,100,0.920000,1.010900,0.052851,0.333540,18.921257
8,10,5,0.000000,inf,0.000049,0.333540,20391.517129
8,10,10,0.010000,inf,0.000047,0.333540,21222.410866
8,10,20,0.070000,1.499502,0.000070,0.333540,14347.202296
8,10,40,0.370000,1.091932,0.001420,0.333540,704.265029
8,10,60,0.700000,1.027194,0.012176,0.333540,82.129250
8,10,100,0.980000,1.000433,0.101304,0.333540,9.871300
8,15,5,0.000000,inf,0.000085,0.333540,11831.519167
8,15,10,0.010000,inf,0.000064,0.333540,15532.774153
8,15,20,0.080000,1.434315,0.000105,0.333540,9515.653250
8,15,40,0.520000,1.056059,0.002266,0.333540,441.325743
8,15,60,0.890000,1.006760,0.020557,0.333540,48.644828
8,15,100,1.000000,1.000000,0.145088,0.333540,6.892383
8,20,5,0.000000,inf,0.000083,0.333540,12036.591237
8,20,10,0.010000,inf,0.000080,0.333540,12553.351745
8,20,20,0.090000,1.387433,0.000133,0.333540,7544.322897
8,20,40,0.620000,1.029747,0.003184,0.333540,314.097973
8,20,60,0.940000,1.002044,0.027808,0.333540,35.961392
8,20,100,1.000000,1.000000,0.167487,0.333540,5.970610
